         62812 function calls in 0.011 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.008    0.008    0.011    0.011 /app/backend/backtest/native.py:26(run_native)
    20001    0.001    0.000    0.001    0.000 /app/backend/backtest/native.py:32(<genexpr>)
    20001    0.001    0.000    0.001    0.000 /app/backend/backtest/native.py:30(<genexpr>)
    20001    0.001    0.000    0.001    0.000 /app/backend/backtest/native.py:31(<genexpr>)
     2789    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 {method 'tolist' of 'array.array' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 /app/backend/backtest/native.py:35(<genexpr>)
        7    0.000    0.000    0.000    0.000 {method 'from_buffer' of '_ctypes.PyCArrayType' objects}
        5    0.000    0.000    0.000    0.000 /app/backend/backtest/native.py:36(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.len}


